2022.01.18 21:33:04 INFO  web[][o.s.p.ProcessEntryPoint] Starting web
2022.01.18 21:33:05 INFO  web[][o.a.t.u.n.NioSelectorPool] Using a shared selector for servlet write/read
2022.01.18 21:33:05 INFO  web[][o.s.s.e.EsClientProvider] Connected to local Elasticsearch: [http://localhost:9001]
2022.01.18 21:33:06 INFO  web[][o.s.s.p.LogServerVersion] SonarQube Server / 9.2.4.50792 / 78f7113cee15b2bd37a958455271e68f1244cb7b
2022.01.18 21:33:07 INFO  web[][o.s.s.p.d.EmbeddedDatabase] Starting embedded database on port 9092 with url jdbc:h2:tcp://127.0.0.1:9092/sonar
2022.01.18 21:33:07 INFO  web[][o.s.s.p.d.EmbeddedDatabase] Embedded database started. Data stored in: /opt/sonarqube/data
2022.01.18 21:33:07 INFO  web[][o.sonar.db.Database] Create JDBC data source for jdbc:h2:tcp://127.0.0.1:9092/sonar
2022.01.18 21:33:08 WARN  web[][o.s.db.dialect.H2] H2 database should be used for evaluation purpose only.
2022.01.18 21:33:09 INFO  web[][o.s.s.p.ServerFileSystemImpl] SonarQube home: /opt/sonarqube
2022.01.18 21:33:09 INFO  web[][o.s.s.u.SystemPasscodeImpl] System authentication by passcode is disabled
2022.01.18 21:33:09 INFO  web[][o.s.s.p.ServerPluginManager] Deploy plugin C# Code Quality and Security / 8.32.0.39516 / 339a4abca54577c2331eb89f3ccecd43279fbd11
2022.01.18 21:33:09 INFO  web[][o.s.s.p.ServerPluginManager] Deploy plugin Configuration detection fot Code Quality and Security / 1.1.0.185 / f880796141c97fa59ac04f8ac0db56c62d862005
2022.01.18 21:33:09 INFO  web[][o.s.s.p.ServerPluginManager] Deploy plugin Flex Code Quality and Security / 2.6.2.2641 / 11f07506915923b3a0e39e4e34280644c035b925
2022.01.18 21:33:09 INFO  web[][o.s.s.p.ServerPluginManager] Deploy plugin Go Code Quality and Security / 1.8.3.2219 / d6ad7a5a47fc4785d2e80918fb7424be46e38a7f
2022.01.18 21:33:09 INFO  web[][o.s.s.p.ServerPluginManager] Deploy plugin HTML Code Quality and Security / 3.4.0.2754 / 38f7ff864ae15152c9f1efc3014594f7e7ca7b6e
2022.01.18 21:33:09 INFO  web[][o.s.s.p.ServerPluginManager] Deploy plugin IaC Code Quality and Security / 1.4.0.1294 / d5088c9df33e24593acd39bac9306136176da598
2022.01.18 21:33:09 INFO  web[][o.s.s.p.ServerPluginManager] Deploy plugin JaCoCo / 1.1.1.1157 / 83478572b9f23efac29de15e30c7758bbb0c0e47
2022.01.18 21:33:09 INFO  web[][o.s.s.p.ServerPluginManager] Deploy plugin Java Code Quality and Security / 7.5.0.28054 / 54b377cfbc4b5d4f2780855818c6850c298ea395
2022.01.18 21:33:09 INFO  web[][o.s.s.p.ServerPluginManager] Deploy plugin JavaScript/TypeScript Code Quality and Security / 8.6.0.16913 / 701a9ce4770cfe89eb0ac54c75eeafb2c8c514ac
